exp_id,timestamp,name,description,use_smote,learning_rate,max_depth,mean_accuracy,std_accuracy,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,full_train_accuracy,full_train_f1,full_train_precision,full_train_recall,full_train_metric_scope,model_type
exp_006_exp1_LGBM_method1,2026-03-29 01:27:13,exp1_LGBM_method1,Exp1 LGBM method1: imputation method1,False,0.03,5,0.6714285714285715,0.1070636092195506,0.763375106272998,0.0791610782996905,0.8253260865466912,0.0813896831898659,0.7124007936507937,0.0847668184920181,0.7919621749408984,0.8487972508591065,0.9285714285714286,0.7816455696202531,train_set_only_no_validation,lightgbm
exp_007_exp1_LGBM_method2,2026-03-29 01:27:15,exp1_LGBM_method2,Exp1 LGBM method2: imputation method2,False,0.03,5,0.8110924369747898,0.0399953900473421,0.8690578635642471,0.0293892052672944,0.8996590354685037,0.0328900967211955,0.8416666666666668,0.0404761904761904,0.9314420803782506,0.9522240527182868,0.993127147766323,0.9145569620253164,train_set_only_no_validation,lightgbm
exp_008_exp1_LGBM_method3,2026-03-29 01:27:18,exp1_LGBM_method3,Exp1 LGBM method3: imputation method3,False,0.03,5,0.6573669467787114,0.0862269140056991,0.7598932555038248,0.0657553551344577,0.7923643211778805,0.053545888060518,0.73125,0.0792561256100247,0.8652482269503546,0.9064039408866996,0.9419795221843004,0.8734177215189873,train_set_only_no_validation,lightgbm
exp_009_exp1_RF_method0,2026-03-29 01:27:21,exp1_RF_method0,Exp1 RF method0: imputation method0,False,,10,0.8510644257703082,0.0230414249747434,0.8981475029036006,0.0137162889736088,0.9217418546365914,0.0316836986428939,0.8765873015873016,0.0154914454729707,0.9196217494089834,0.9446254071661238,0.9731543624161074,0.9177215189873418,train_set_only_no_validation,random_forest
exp_010_exp1_RF_method1,2026-03-29 01:27:28,exp1_RF_method1,Exp1 RF method1: imputation method1,False,,10,0.7282913165266106,0.1040706157449755,0.8145174453916401,0.0692408641859992,0.8370882195541904,0.0832525737009123,0.7945436507936507,0.0631940550933658,0.8534278959810875,0.8993506493506493,0.9233333333333332,0.8765822784810127,train_set_only_no_validation,random_forest
exp_011_exp1_RF_method2,2026-03-29 01:27:35,exp1_RF_method2,Exp1 RF method2: imputation method2,False,,10,0.8322408963585435,0.0222142097301652,0.8860112531493733,0.0154351256925511,0.899828723368952,0.0215444132137003,0.8734126984126984,0.0265724905441003,0.9243498817966904,0.9475409836065574,0.9829931972789115,0.9145569620253164,train_set_only_no_validation,random_forest
exp_012_exp1_RF_method3,2026-03-29 01:27:41,exp1_RF_method3,Exp1 RF method3: imputation method3,False,,10,0.6810084033613446,0.0836636862323027,0.7847093486840169,0.0599092835054101,0.7890710101274295,0.0545110762487078,0.7819444444444444,0.0734298564247735,0.9054373522458627,0.9386503067484664,0.9107142857142856,0.9683544303797468,train_set_only_no_validation,random_forest
exp_013_exp1_XGB_method0,2026-03-29 01:27:49,exp1_XGB_method0,Exp1 XGB method0: imputation method0,False,0.1,6,0.8746218487394957,0.029773999849114,0.9147816158770012,0.0193021486420379,0.932591717419396,0.0321210906052478,0.8986607142857143,0.0260081511463599,0.9905437352245864,0.9936305732484076,1.0,0.9873417721518988,train_set_only_no_validation,xgboost
exp_014_exp1_XGB_method1,2026-03-29 01:28:23,exp1_XGB_method1,Exp1 XGB method1: imputation method1,False,0.1,6,0.7234173669467787,0.1079407466883741,0.8085936120416445,0.0762702194766525,0.8345143933279526,0.0719685025618881,0.7851190476190476,0.0831716117843265,0.9408983451536644,0.9590834697217676,0.9932203389830508,0.9272151898734176,train_set_only_no_validation,xgboost
exp_015_exp1_XGB_method2,2026-03-29 01:29:01,exp1_XGB_method2,Exp1 XGB method2: imputation method2,False,0.1,6,0.8322689075630253,0.020758853992127,0.8852440979097234,0.015122177596586,0.9049371714065122,0.0206949503244259,0.867013888888889,0.0240891728699655,0.9881796690307328,0.9920255183413078,1.0,0.9841772151898734,train_set_only_no_validation,xgboost
exp_016_exp1_XGB_method3,2026-03-29 01:29:28,exp1_XGB_method3,Exp1 XGB method3: imputation method3,False,0.1,6,0.6809803921568628,0.04807284186253285,0.7827603633777203,0.036511360392245826,0.7948552343713633,0.029254394419308414,0.7723710317460316,0.05242386785147528,0.9787234042553191,0.985553772070626,1.0,0.9715189873417721,train_set_only_no_validation,xgboost
